tweet_id,created_at
1982238155756462358,2025-10-26 00:09:39
1981694866792034685,2025-10-24 12:10:49
1981306662402347231,2025-10-23 10:28:13
1980613438092243283,2025-10-21 12:33:36
1980529561965343121,2025-10-21 07:00:18
1979170778634498541,2025-10-17 13:00:59
1979068613085770141,2025-10-17 06:15:01
1978966314141257909,2025-10-16 23:28:31
1978325299310768150,2025-10-15 05:01:21
1978301625715360118,2025-10-15 03:27:17
1977617725032911034,2025-10-13 06:09:42
1977538993677038007,2025-10-13 00:56:51
1977223882802446831,2025-10-12 04:04:43
1976926538483614205,2025-10-11 08:23:10
1976851661651165681,2025-10-11 03:25:38
1976235535896310074,2025-10-09 10:37:23
1976165809778196706,2025-10-09 06:00:19
1976112378954776973,2025-10-09 02:28:00
1975785956772122676,2025-10-08 04:50:55
1975393776593215848,2025-10-07 02:52:32
1975178045444255864,2025-10-06 12:35:17
1974813054752919564,2025-10-05 12:24:57
1974346378190205009,2025-10-04 05:30:32
1973023215221137810,2025-09-30 13:52:46
1972651754471768321,2025-09-29 13:16:43
1972604928972746922,2025-09-29 10:10:38
1971109410564100489,2025-09-25 07:07:59
1970020447451554146,2025-09-22 07:00:50
1969314778821902711,2025-09-20 08:16:46
1968553434359152940,2025-09-18 05:51:27
1967012288415887577,2025-09-13 23:47:29
1965747381041074245,2025-09-10 12:01:12
1962164826916188362,2025-08-31 14:45:24
1961238815454175265,2025-08-29 01:25:46
1959948024995815697,2025-08-25 11:56:37
1959466998561476855,2025-08-24 04:05:12
1958820892911214933,2025-08-22 09:17:48
1957769866011897859,2025-08-19 11:41:24
1955951970247958811,2025-08-14 11:17:44
1954538221217689828,2025-08-10 13:40:00
1953401560442278258,2025-08-07 10:23:19
1953017955660513679,2025-08-06 08:59:00
1950851641948971467,2025-07-31 09:30:51
1949360257022714123,2025-07-27 06:44:37
1949110385950572639,2025-07-26 14:11:43
1948238955532669400,2025-07-24 04:28:58
1946187546020733139,2025-07-18 12:37:24
1945704634380845056,2025-07-17 04:38:28
1943860352770617394,2025-07-12 02:29:57
1943206070337573306,2025-07-10 07:10:04
1941686832749490673,2025-07-06 02:33:10
1940595993055318275,2025-07-03 02:18:33
1940043350377152892,2025-07-01 13:42:33
1939665420610592925,2025-06-30 12:40:48
1939266549183025243,2025-06-29 10:15:49
1938878293002068475,2025-06-28 08:33:02
1938795050571571640,2025-06-28 03:02:15
1938571322776301825,2025-06-27 12:13:14
1937526169274118471,2025-06-24 15:00:10
1936737282406662476,2025-06-22 10:45:25
1936655049029296609,2025-06-22 05:18:39
1936605060471136345,2025-06-22 02:00:01
1936368954756517906,2025-06-21 10:21:49
1936239880327381440,2025-06-21 01:48:55
1935697890263097651,2025-06-19 13:55:15
1935583856394166455,2025-06-19 06:22:07
1935226213880185123,2025-06-18 06:40:58
1935138350828241084,2025-06-18 00:51:50
1934988606839660702,2025-06-17 14:56:48
1934944582661444049,2025-06-17 12:01:52
1934793121222492304,2025-06-17 02:00:01
1934598096920682799,2025-06-16 13:05:04
1934575137510371700,2025-06-16 11:33:50
1933407561472225477,2025-06-13 06:14:18
1933165082617487775,2025-06-12 14:10:46
1933086927777075238,2025-06-12 09:00:13
